,text,UniqueID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
85,ruokday septemb retweet remind day info help learn sign ask ruok,85,0,0,0,0,0,0,1,0,0,0
86,ruokday septemb tweet remind day info help learn sign ask,86,0,0,0,0,0,0,1,0,0,0
87,ruokday septemb retweet remind day info help learn sign ask ruok,87,0,0,0,0,0,0,1,0,0,0
88,ruokday septemb retweet remind day info help learn sign ask ruok,88,0,0,0,0,0,0,1,0,0,0
89,ruokday septemb retweet remind day info help learn sign ask ruok,89,0,0,0,0,0,0,1,0,0,0
90,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont wantxexxa,90,0,0,1,0,0,0,1,0,0,2
91,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,91,0,0,1,0,0,0,1,0,0,2
92,ruokday thursday septemb retweet tweet remind day info ask ruok,92,0,0,0,0,0,0,0,0,0,0
93,ruokday septemb tweet remind day info help learn sign ask,93,0,0,0,0,0,0,1,0,0,0
94,ruokday septemb retweet remind day info help learn sign ask ruok,94,0,0,0,0,0,0,1,0,0,0
95,ruokday septemb retweet remind day info help learn sign ask ruok,95,0,0,0,0,0,0,1,0,0,0
96,mentalhealthnnthursday septemb ruokdaynnsuicid prevent fight mental health may appear hard buxexxa,96,1,0,0,2,0,1,0,0,0,0
97,ruokday septemb retweet remind day info help learn sign ask ruok,97,0,0,0,0,0,0,1,0,0,0
98,mentalhealthnnthursday septemb ruokdaynnsuicid prevent fight mental health may appear hard start convers stepsnn ruokn listenn encourag actionn check innntak action nownncredit nnmentalhealth,98,1,1,0,2,0,1,1,0,0,0
99,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,99,0,0,1,0,0,0,1,0,0,2
100,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,100,0,0,1,0,0,0,1,0,0,2
101,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,101,0,0,1,0,0,0,1,0,0,2
102,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,102,0,0,1,0,0,0,1,0,0,2
103,ruokday septemb retweet remind day info help learn sign ask ruok,103,0,0,0,0,0,0,1,0,0,0
104,ruokday septemb retweet remind day info help learn sign ask ruok,104,0,0,0,0,0,0,1,0,0,0
105,ruokday septemb retweet remind day info help learn sign ask ruok,105,0,0,0,0,0,0,1,0,0,0
106,ruokday septemb tweet remind day info help learn sign ask,106,0,0,0,0,0,0,1,0,0,0
107,ruokday thursday septemb retweet tweet remind day info ask ruok,107,0,0,0,0,0,0,0,0,0,0
108,ruokday septemb retweet remind day info help learn sign ask ruok,108,0,0,0,0,0,0,1,0,0,0
109,ruokday septemb retweet remind day info help learn sign ask ruok,109,0,0,0,0,0,0,1,0,0,0
110,ruokday septemb retweet remind day info help learn sign ask ruok,110,0,0,0,0,0,0,1,0,0,0
111,ruokday septemb retweet remind day info help learn sign ask ruok,111,0,0,0,0,0,0,1,0,0,0
112,ruokday septemb retweet remind day info help learn sign ask ruok,112,0,0,0,0,0,0,1,0,0,0
113,ruokday septemb retweet remind day info help learn sign ask ruok,113,0,0,0,0,0,0,1,0,0,0
114,ruokday septemb retweet remind day info help learn sign ask ruok,114,0,0,0,0,0,0,1,0,0,0
115,ruokday septemb retweet remind day info help learn sign ask ruok,115,0,0,0,0,0,0,1,0,0,0
116,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want waitxexxa,116,0,0,1,0,0,0,1,0,0,2
117,ruokday septemb retweet remind day info help learn sign ask ruok,117,0,0,0,0,0,0,1,0,0,0
118,sometim good take quiet moment ask peopl care ruok answer maxexxa,118,0,1,0,0,1,0,2,1,1,1
119,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,119,0,0,1,0,0,0,1,0,0,2
120,ruokday septemb tweet remind day info help learn sign ask,120,0,0,0,0,0,0,1,0,0,0
121,ruokday septemb retweet remind day info help learn sign ask ruok,121,0,0,0,0,0,0,1,0,0,0
122,ruokday septemb tweet remind day info help learn sign ask,122,0,0,0,0,0,0,1,0,0,0
123,ruokday septemb retweet remind day info help learn sign ask ruok,123,0,0,0,0,0,0,1,0,0,0
124,ruokday septemb retweet remind day info help learn sign ask ruok,124,0,0,0,0,0,0,1,0,0,0
125,ruokday thursday septemb retweet tweet remind day info ask ruok,125,0,0,0,0,0,0,0,0,0,0
126,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want txexxa,126,0,0,1,0,0,0,1,0,0,2
127,ruokday septemb retweet remind day info help learn sign ask ruok,127,0,0,0,0,0,0,1,0,0,0
128,ruokday septemb tweet remind day info help learn sign ask,128,0,0,0,0,0,0,1,0,0,0
129,convers save life mani occass nsuicideawar nmentalhealthmatt nruokday ,129,0,0,0,0,1,0,1,0,0,1
130,ruokday septemb tweet remind day info help learn sign ask,130,0,0,0,0,0,0,1,0,0,0
131,ruok event ararat next thursday ruokday ,131,0,0,0,0,0,0,0,0,0,0
132,sometim good take quiet moment ask peopl care ruok answer maxexxa,132,0,1,0,0,1,0,2,1,1,1
133,person that experienc extrem mental health problem whole life deepli hope awar get bigger everi year amp help peopl vulner dont support behind though tough time amp subject ruok ruokday ruokday love,133,0,2,0,1,2,3,2,2,1,1
134,sometim good take quiet moment ask peopl care ruok answer maxexxa,134,0,1,0,0,1,0,2,1,1,1
135,ruokday septemb tweet remind day info help learn sign ask,135,0,0,0,0,0,0,1,0,0,0
136,ruokday septemb tweet remind day info help learn sign ask,136,0,0,0,0,0,0,1,0,0,0
137,ruokday septemb tweet remind day info help learn sign ask,137,0,0,0,0,0,0,1,0,0,0
138,ruokday septemb tweet remind day info help learn sign ask,138,0,0,0,0,0,0,1,0,0,0
139,ruokday septemb tweet remind day info help learn sign ask,139,0,0,0,0,0,0,1,0,0,0
140,ruokday septemb tweet remind day info help learn sign ask,140,0,0,0,0,0,0,1,0,0,0
141,ruokday septemb tweet remind day info help learn sign ask,141,0,0,0,0,0,0,1,0,0,0
142,ruokday septemb tweet remind day info help learn sign ask,142,0,0,0,0,0,0,1,0,0,0
143,sometim good take quiet moment ask peopl care ruok answer maxexxa,143,0,1,0,0,1,0,2,1,1,1
144,ruokday septemb tweet remind day info help learn sign ask,144,0,0,0,0,0,0,1,0,0,0
145,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want txexxa,145,0,0,1,0,0,0,1,0,0,2
146,sometim good take quiet moment ask peopl care ruok answer maxexxa,146,0,1,0,0,1,0,2,1,1,1
147,itxexx mental tough week ruokday fall birthday therexexx anyth ixexxd ask birthday would ask around okay theyxexxr find way ,147,0,2,0,0,2,2,2,2,2,0
148,ruokday thursday septemb retweet tweet remind day info ask ruok,148,0,0,0,0,0,0,0,0,0,0
149,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want waitxexxa,149,0,0,1,0,0,0,1,0,0,2
150,ruok event ararat next thursday ruokday ,150,0,0,0,0,0,0,0,0,0,0
151,sometim good take quiet moment ask peopl care ruok answer maxexxa,151,0,1,0,0,1,0,2,1,1,1
152,sometim good take quiet moment ask peopl care ruok answer maxexxa,152,0,1,0,0,1,0,2,1,1,1
153,ruokday septemb tweet remind day info help learn sign ask,153,0,0,0,0,0,0,1,0,0,0
154,sometim good take quiet moment ask peopl care ruok answer maxexxa,154,0,1,0,0,1,0,2,1,1,1
155,sometim good take quiet moment ask peopl care ruok answer mayb help find australian resourc reach xfxfxaxxexdxxfxfxxcxexdxaxefxbxf ruokday ruokday ,155,0,1,0,0,1,0,2,1,1,1
156,ruokday septemb tweet remind day info help learn sign ask,156,0,0,0,0,0,0,1,0,0,0
157,ruokday septemb tweet remind day info help learn sign ask,157,0,0,0,0,0,0,1,0,0,0
158,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,158,0,0,1,0,0,0,1,0,0,2
159,ruokday septemb tweet remind day info help learn sign ask,159,0,0,0,0,0,0,1,0,0,0
160,ruokday septemb tweet remind day info help learn sign ask,160,0,0,0,0,0,0,1,0,0,0
161,ruokday septemb tweet remind day info help learn sign ask,161,0,0,0,0,0,0,1,0,0,0
162,ruokday septemb tweet remind day info help learn sign ask,162,0,0,0,0,0,0,1,0,0,0
163,ruokday septemb tweet remind day info help learn sign ask,163,0,0,0,0,0,0,1,0,0,0
164,ruokday septemb retweet remind day info help learn sign ask ruok,164,0,0,0,0,0,0,1,0,0,0
165,ruokday septemb tweet remind day info help learn sign ask,165,0,0,0,0,0,0,1,0,0,0
166,xexxaa xexxa ruokday approach resourc tip xexxaxexxa xexxaxexxa mentalhealth ,166,0,0,0,0,0,0,0,0,0,0
167,ruokday septemb retweet remind day info help learn sign ask ruok,167,0,0,0,0,0,0,1,0,0,0
168,ruokday septemb retweet remind day info help learn sign ask ruok,168,0,0,0,0,0,0,1,0,0,0
169,ruok ruokday ruokdaynnth septemb nnso notic chang matter small nnfollow easi stepsn trust signsn trust gutn ask r u oknnso pleas check make sure ask r u okxfxfxx ,169,0,1,0,1,0,2,0,1,0,2
170,ruokday septemb retweet remind day info help learn sign ask ruok,170,0,0,0,0,0,0,1,0,0,0
171,ruokday septemb tweet remind day info help learn sign ask,171,0,0,0,0,0,0,1,0,0,0
172,ruokday septemb tweet remind day info help learn sign ask,172,0,0,0,0,0,0,1,0,0,0
173,ruokday thursday septemb retweet tweet remind day info ask ruok,173,0,0,0,0,0,0,0,0,0,0
174,ruokday thursday septemb retweet tweet remind day info ask ruok,174,0,0,0,0,0,0,0,0,0,0
175,ruokday septemb tweet remind day info help learn sign ask,175,0,0,0,0,0,0,1,0,0,0
176,ruokday septemb tweet remind day info help learn sign ask,176,0,0,0,0,0,0,1,0,0,0
177,ruokday septemb tweet remind day info help learn sign ask,177,0,0,0,0,0,0,1,0,0,0
178,ruokday septemb tweet remind day info help learn sign ask,178,0,0,0,0,0,0,1,0,0,0
179,ruokday septemb retweet remind day info help learn sign ask ruok,179,0,0,0,0,0,0,1,0,0,0
180,ruokday septemb tweet remind day info help learn sign ask,180,0,0,0,0,0,0,1,0,0,0
181,ruokday septemb tweet remind day info help learn sign ask,181,0,0,0,0,0,0,1,0,0,0
182,ruokday septemb tweet remind day info help learn sign ask,182,0,0,0,0,0,0,1,0,0,0
183,ruokday septemb tweet remind day info help learn sign ask,183,0,0,0,0,0,0,1,0,0,0
184,ruokday septemb tweet remind day info help learn sign ask,184,0,0,0,0,0,0,1,0,0,0
185,ruokday septemb tweet remind day info help learn sign ask,185,0,0,0,0,0,0,1,0,0,0
186,ruokday septemb tweet remind day info help learn sign ask,186,0,0,0,0,0,0,1,0,0,0
187,ruokday septemb tweet remind day info help learn sign ask,187,0,0,0,0,0,0,1,0,0,0
188,ruokday septemb tweet remind day info help learn sign ask,188,0,0,0,0,0,0,1,0,0,0
189,ruokday septemb tweet remind day info help learn sign ask,189,0,0,0,0,0,0,1,0,0,0
190,ruokday septemb tweet remind day info help learn sign ask,190,0,0,0,0,0,0,1,0,0,0
191,ruokday septemb tweet remind day info help learn sign ask,191,0,0,0,0,0,0,1,0,0,0
192,ruokday septemb tweet remind day info help learn sign ask,192,0,0,0,0,0,0,1,0,0,0
193,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont wantxexxa,193,0,0,1,0,0,0,1,0,0,2
194,ruokday septemb tweet remind day info help learn sign ask,194,0,0,0,0,0,0,1,0,0,0
195,ruokday septemb tweet remind day info help learn sign ask,195,0,0,0,0,0,0,1,0,0,0
196,commun develop one best job socialwork may bias sit floor talkin mentaxexxa,196,1,1,0,0,0,1,2,0,0,0
197,commun develop one best job socialwork may bias sit floor talkin mental health wellb high schooler earli ruokday ,197,1,1,0,0,0,1,2,0,0,0
198,ruokday septemb tweet remind day info help learn sign ask,198,0,0,0,0,0,0,1,0,0,0
199,ruokday septemb tweet remind day info help learn sign ask,199,0,0,0,0,0,0,1,0,0,0
200,ruokday septemb tweet remind day info help learn sign ask,200,0,0,0,0,0,0,1,0,0,0
201,ruokday septemb tweet remind day info help learn sign ask,201,0,0,0,0,0,0,1,0,0,0
202,ruokday septemb tweet remind day info help learn sign ask,202,0,0,0,0,0,0,1,0,0,0
203,ruokday septemb tweet remind day info help learn sign ask,203,0,0,0,0,0,0,1,0,0,0
204,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont wantxexxa,204,0,0,1,0,0,0,1,0,0,2
205,ruokday septemb tweet remind day info help learn sign ask,205,0,0,0,0,0,0,1,0,0,0
206,ruokday septemb tweet remind day info help learn sign ask,206,0,0,0,0,0,0,1,0,0,0
207,ruokday septemb tweet remind day info help learn sign ask,207,0,0,0,0,0,0,1,0,0,0
208,ruokday septemb tweet remind day info help learn sign ask,208,0,0,0,0,0,0,1,0,0,0
209,ruokday septemb tweet remind day info help learn sign ask,209,0,0,0,0,0,0,1,0,0,0
210,ruokday septemb tweet remind day info help learn sign ask,210,0,0,0,0,0,0,1,0,0,0
211,ruokday septemb tweet remind day info help learn sign ask,211,0,0,0,0,0,0,1,0,0,0
212,ruokday septemb tweet remind day info help learn sign ask,212,0,0,0,0,0,0,1,0,0,0
213,ruokday septemb tweet remind day info help learn sign ask,213,0,0,0,0,0,0,1,0,0,0
214,ruokday septemb tweet remind day info help learn sign ask,214,0,0,0,0,0,0,1,0,0,0
215,ruokday septemb tweet remind day info help learn sign ask,215,0,0,0,0,0,0,1,0,0,0
216,ruokday septemb tweet remind day info help learn sign ask,216,0,0,0,0,0,0,1,0,0,0
217,ruokday septemb tweet remind day info help learn sign ask,217,0,0,0,0,0,0,1,0,0,0
218,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want toxexxa,218,0,0,1,0,0,0,1,0,0,2
219,ruokday septemb tweet remind day info help learn sign ask,219,0,0,0,0,0,0,1,0,0,0
220,ruokday septemb tweet remind day info help learn sign ask,220,0,0,0,0,0,0,1,0,0,0
221,ruokday septemb tweet remind day info help learn sign ask,221,0,0,0,0,0,0,1,0,0,0
222,ruokday septemb tweet remind day info help learn sign ask,222,0,0,0,0,0,0,1,0,0,0
223,ruokday septemb tweet remind day info help learn sign ask,223,0,0,0,0,0,0,1,0,0,0
224,ruokday septemb tweet remind day info help learn sign ask,224,0,0,0,0,0,0,1,0,0,0
225,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want wxexxa,225,0,0,1,0,0,0,1,0,0,2
226,ruokday septemb tweet remind day info help learn sign ask,226,0,0,0,0,0,0,1,0,0,0
227,ruokday septemb tweet remind day info help learn sign ask,227,0,0,0,0,0,0,1,0,0,0
228,ruokday septemb tweet remind day info help learn sign ask,228,0,0,0,0,0,0,1,0,0,0
229,ruokday septemb tweet remind day info help learn sign ask,229,0,0,0,0,0,0,1,0,0,0
230,ruokday septemb tweet remind day info help learn sign ask,230,0,0,0,0,0,0,1,0,0,0
231,ruokday septemb tweet remind day info help learn sign ask,231,0,0,0,0,0,0,1,0,0,0
232,ruokday septemb tweet remind day info help learn sign ask,232,0,0,0,0,0,0,1,0,0,0
233,ruokday septemb retweet remind day info help learn sign ask ruok,233,0,0,0,0,0,0,1,0,0,0
234,ruokday septemb tweet remind day info help learn sign ask,234,0,0,0,0,0,0,1,0,0,0
235,ruokday septemb tweet remind day info help learn sign ask,235,0,0,0,0,0,0,1,0,0,0
236,ruokday septemb tweet remind day info help learn sign ask,236,0,0,0,0,0,0,1,0,0,0
237,ruokday septemb tweet remind day info help learn sign ask,237,0,0,0,0,0,0,1,0,0,0
238,ruokday septemb tweet remind day info help learn sign ask,238,0,0,0,0,0,0,1,0,0,0
239,ruokday septemb tweet remind day info help learn sign ask,239,0,0,0,0,0,0,1,0,0,0
240,ruokday septemb tweet remind day info help learn sign ask,240,0,0,0,0,0,0,1,0,0,0
241,ruokday septemb tweet remind day info help learn sign ask,241,0,0,0,0,0,0,1,0,0,0
242,ruokday septemb tweet remind day info help learn sign ask,242,0,0,0,0,0,0,1,0,0,0
243,ruokday thursday septemb retweet tweet remind day info ask ruok,243,0,0,0,0,0,0,0,0,0,0
244,ruokday septemb tweet remind day info help learn sign ask,244,0,0,0,0,0,0,1,0,0,0
245,ruokday septemb tweet remind day info help learn sign ask,245,0,0,0,0,0,0,1,0,0,0
246,ruokday septemb tweet remind day info help learn sign ask,246,0,0,0,0,0,0,1,0,0,0
247,ruokday septemb retweet remind day info help learn sign ask ruok,247,0,0,0,0,0,0,1,0,0,0
248,ruokday septemb tweet remind day info help learn sign ask,248,0,0,0,0,0,0,1,0,0,0
249,ruokday septemb tweet remind day info help learn sign ask,249,0,0,0,0,0,0,1,0,0,0
250,ruokday septemb tweet remind day info help learn sign ask,250,0,0,0,0,0,0,1,0,0,0
251,ruokday thursday septemb retweet tweet remind day info ask ruok,251,0,0,0,0,0,0,0,0,0,0
252,ruokday septemb tweet remind day info help learn sign ask,252,0,0,0,0,0,0,1,0,0,0
253,ruokday septemb tweet remind day info help learn sign ask,253,0,0,0,0,0,0,1,0,0,0
254,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want waixexxa,254,0,0,1,0,0,0,1,0,0,2
255,ruokday septemb tweet remind day info help learn sign ask,255,0,0,0,0,0,0,1,0,0,0
256,ruokday septemb tweet remind day info help learn sign ask,256,0,0,0,0,0,0,1,0,0,0
257,ruokday septemb tweet remind day info help learn sign ask,257,0,0,0,0,0,0,1,0,0,0
258,ruokday thursday septemb retweet tweet remind day info ask ruok,258,0,0,0,0,0,0,0,0,0,0
259,ruokday septemb tweet remind day info help learn sign ask,259,0,0,0,0,0,0,1,0,0,0
260,xexdxaxefxbxfthat want learn trust sign trust gut ask ruok septemb dont want wxexxa,260,0,0,1,0,0,0,1,0,0,2
261,ruokday septemb tweet remind day info help learn sign ask,261,0,0,0,0,0,0,1,0,0,0
262,ruokday septemb retweet remind day info help learn sign ask ruok,262,0,0,0,0,0,0,1,0,0,0
263,ruokday septemb tweet remind day info help learn sign ask,263,0,0,0,0,0,0,1,0,0,0
264,ruokday thursday septemb retweet tweet remind day info ask ruok,264,0,0,0,0,0,0,0,0,0,0
265,ruokday septemb retweet remind day info help learn sign ask ruok,265,0,0,0,0,0,0,1,0,0,0
266,ruokday septemb tweet remind day info help learn sign ask,266,0,0,0,0,0,0,1,0,0,0
267,ruokday septemb retweet remind day info help learn sign ask ruok,267,0,0,0,0,0,0,1,0,0,0
268,ruokday septemb tweet remind day info help learn sign ask,268,0,0,0,0,0,0,1,0,0,0
269,ruokday septemb tweet remind day info help learn sign ask,269,0,0,0,0,0,0,1,0,0,0
270,ruokday septemb tweet remind day info help learn sign ask,270,0,0,0,0,0,0,1,0,0,0
271,ruokday thursday septemb retweet tweet remind day info ask ruok,271,0,0,0,0,0,0,0,0,0,0
272,ruokday septemb tweet remind day info help learn sign ask,272,0,0,0,0,0,0,1,0,0,0
273,ruokday thursday septemb retweet tweet remind day info ask ruok,273,0,0,0,0,0,0,0,0,0,0
274,ruokday septemb tweet remind day info help learn sign ask,274,0,0,0,0,0,0,1,0,0,0
275,ruokday thursday septemb retweet tweet remind day info ask ruok,275,0,0,0,0,0,0,0,0,0,0
276,ruokday septemb tweet remind day info help learn sign ask,276,0,0,0,0,0,0,1,0,0,0
277,ruokday septemb tweet remind day info help learn sign ask,277,0,0,0,0,0,0,1,0,0,0
